name,address,street_address,city,state,zip_code,full_address,source,import_date,import_time
,"14812 W 84th Terrace, Lenexa, KS 66215\",14812 W 84th Terrace,Lenexa,KS,66215,"14812 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14621 W 84th St\,14621 W 84th St\,,,,14621 W 84th St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14139 W 84th Terrace\,14139 W 84th Terrace\,,,,14139 W 84th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8338 Hallet St\,8338 Hallet St\,,,,8338 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8511 Darnell St, Lenexa, KS 66215\",8511 Darnell St,Lenexa,KS,66215,"8511 Darnell St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14636 W 83rd Terrace\,14636 W 83rd Terrace\,,,,14636 W 83rd Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14412 W 84th Terrace\,14412 W 84th Terrace\,,,,14412 W 84th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8335 Oakview Cir, Lenexa, KS 66215\",8335 Oakview Cir,Lenexa,KS,66215,"8335 Oakview Cir, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8419 Greenwood Cir\,8419 Greenwood Cir\,,,,8419 Greenwood Cir\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8355 Hallet St\,8355 Hallet St\,,,,8355 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14805 W 84th Terrace, Lenexa, KS 66215\",14805 W 84th Terrace,Lenexa,KS,66215,"14805 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8622 Acuff Ln\,8622 Acuff Ln\,,,,8622 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14639 W 86th St\,14639 W 86th St\,,,,14639 W 86th St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8515 Alden St, Lenexa, KS 66215\",8515 Alden St,Lenexa,KS,66215,"8515 Alden St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8512 Darnell St, Lenexa, KS 66215\",8512 Darnell St,Lenexa,KS,66215,"8512 Darnell St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8425 Hallet St, Lenexa, KS 66215\",8425 Hallet St,Lenexa,KS,66215,"8425 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8441 Hallet St, Lenexa, KS 66215\",8441 Hallet St,Lenexa,KS,66215,"8441 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14621 W 85th Terrace\,14621 W 85th Terrace\,,,,14621 W 85th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14609 W 83rd Terrace, Lenexa, KS 66215\",14609 W 83rd Terrace,Lenexa,KS,66215,"14609 W 83rd Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8017 Hallet St\,8017 Hallet St\,,,,8017 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
